text,label,original_index,cleaned_text
လူ အများ ရှိ တဲ့ နေရာ မ လုပ် သင့် ပါ ဘူး ဟာ,no,3574,လူ အများ ရှိ တဲ့ နေရာ မ လုပ် သင့် ပါ ဘူး ဟာ
ဖေယိုးမ ရဲ့ သုတ်ကြောင် မ နေ နဲ့ ခွေး လိုး တာ ခံ နေ ရ မယ် သိ လား,ab,5864,ဖေယိုးမ ရဲ့ သုတ်ကြောင် မ နေ နဲ့ ခွေး လိုး တာ ခံ နေ ရ မယ် သိ လား
အပို တွေ ပါ ဟယ် ငါ တို့ တုန်း က ကာယ ချိန် မြက် ချည်း နှုတ် ခိုင်း တယ် ကျောင်း စောင့် ဦး လေး ကြီး က ကျ အိပ် နေ ပြီး 😀 😝😝😝😝😝,no,3481,အပို တွေ ပါ ဟယ် ငါ တုန်း ကာယ ချိန် မြက် ချည်း နှုတ် ခိုင်း တယ် ကျောင်း စောင့် ဦး လေး ကြီး ကျ အိပ် နေ ပြီး grinning_face squinting_face_with_tongue squinting_face_with_tongue squinting_face_with_tongue squinting_face_with_tongue squinting_face_with_tongue
ကျန် တဲ့ သူ က သူ ဖြစ် မှာ ပေါ့ တစ် ယောက် ကျန် သေး တာ ကို,no,322,ကျန် တဲ့ သူ သူ ဖြစ် မှာ ပေါ့ ယောက် ကျန် သေး တာ ကို
အာဆီယံ က လ ဥပဒေ တွေ က လည်း သောက်ဆန်းကြီး တွေ ဟ🤣🤣🤣 လွှတ်တော် ထဲ မှာ ဘယ် သူ မှ မဲ မ ပေး ရ ဘဲ မိန့်မိန့်ကြီး တွေ ထိုင် နေ တဲ့ ကောင် တွေ က မွေးရာပါ စောက်ရှက် ကို မ ပါ တာ လား မ သိ ပါ ဘူး အမတ် ဆို တဲ့ ကောင် တွေ အတော်များများ က လည်း ဒီနေ့ လွှတ်တော် မ တက် ဘူး ဆို ပဲ ငါလူးမ တို့ နိုင်ငံ က ကောင် တွေ ဆီ က မိတ္တူ များ ကူး ထား သလား အောက်မေ့ ရ တယ် 🤣🤣🤣,po,218,အာဆီယံ လ ဥပဒေ တွေ လည်း သောက်ဆန်းကြီး တွေ ဟ rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing လွှတ်တော် ထဲ မှာ ဘယ် သူ မဲ မ ပေး ရ ဘဲ မိန့်မိန့်ကြီး တွေ ထိုင် နေ တဲ့ ကောင် တွေ မွေးရာပါ စောက်ရှက် ကို မ ပါ တာ လား မ သိ ပါ ဘူး အမတ် ဆို တဲ့ ကောင် တွေ အတော်များများ လည်း ဒီနေ့ လွှတ်တော် မ တက် ဘူး ဆို ပဲ ငါလူးမ နိုင်ငံ ကောင် တွေ ဆီ မိတ္တူ ကူး ထား သလား အောက်မေ့ ရ တယ် rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing
အမ ရယ် ဒီ လို ယောကျာ်း မျိုး နဲ့ ကွဲ သွား တာ လည်း ကောင်း ပါ တယ် အမ အစား ဟို မိန်းမ က ခံ ပေး နေ တယ် သာ သဘောထား 😆 မိန်းမ တစ် ယောက် က ယောက်ျား ရဲ့ ဖောက်ပြန် တာ ခံ ရ လို့ စိတ်ညစ် နေ တာ ကို သူ့ ဖက် က ပြန် ပြော တာ တွေ ဖတ် ပြီး ဘယ်လို လူစား လဲ တန်း သိ ရ တယ် ကွဲ လိုက် တာ တကယ် ဝမ်းသာ တယ် နိုင်ငံခြား မှာ သူ့ ထက် သာ တဲ့ သူ နဲ့ အမြန်ဆုံး ဆုံတွေ့ နိုင် ပါ စေ,no,1982,အမ ရယ် ဒီ လို ယောကျာ်း မျိုး နဲ့ ကွဲ သွား တာ လည်း ကောင်း ပါ တယ် အမ အစား ဟို မိန်းမ ခံ ပေး နေ တယ် သာ သဘောထား grinning_squinting_face မိန်းမ ယောက် ယောက်ျား ရဲ့ ဖောက်ပြန် တာ ခံ ရ လို့ စိတ်ညစ် နေ တာ ကို သူ့ ဖက် ပြန် ပြော တာ တွေ ဖတ် ပြီး ဘယ်လို လူစား လဲ တန်း သိ ရ တယ် ကွဲ လိုက် တာ တကယ် ဝမ်းသာ တယ် နိုင်ငံခြား မှာ သူ့ ထက် သာ တဲ့ သူ နဲ့ အမြန်ဆုံး ဆုံတွေ့ နိုင် ပါ စေ
အာရုံ တစ် ခု တည်း ထား ပါ တဲ့ ဆို တဲ့ သုတ်ကြောင် စကား က တစ် မျိုး နောက် ပြီး မနာလို တယ် ဆို ရ အောင် ဘယ်တုန်းက မှ မ သိ ဘူး အခု မှ သိ တယ်,ab,878,အာရုံ ခု တည်း ထား ပါ တဲ့ ဆို တဲ့ သုတ်ကြောင် စကား မျိုး နောက် ပြီး မနာလို တယ် ဆို ရ အောင် ဘယ်တုန်းက မ သိ ဘူး အခု သိ တယ်
သတ် ရဲ တဲ့ သူ တွေ က မသေရဲတော့ဘူးလား,po,5013,သတ် ရဲ တဲ့ သူ တွေ မသေရဲတော့ဘူးလား
ခွေးစစ်အုပ်စု ဝါဒ ဖြန့် သက်သက် သာ လက်နက်ကိုင် အချင်းချင်း သွေးခွဲ ပါတီ အချင်းချင်း သွေးခွဲ ပြည်သူ အချင်းချင်း ကြား သွေးခွဲ သူလျှို ဒင်း တို့ စစ် အကြမ်းဖက် အုပ်စု က ဒီ လို ပဲ နှစ် ပေါင်း များစွာ ပြည်သူ နဲ့ အခြား လက်နက်ကိုင် များ ကို သွေးခွဲ အုပ်ချူပ် လာ တာ ဒါ ကြောင့် ဒီ မကောင်းဆိုးဝါး စစ်မိတ္ဆာ ဘီးလူး သရဲ တွေ ကို ဗမာ့ မြေ ပေါ် က နေ အပြီးတိုင် ဖယ်ရှား ပစ် မှ နိုင်ငံ အေးချမ်း မယ် စစ်ခွေး နိဂုံး 23,po,2868,ခွေးစစ်အုပ်စု ဝါဒ ဖြန့် သက်သက် သာ လက်နက်ကိုင် အချင်းချင်း သွေးခွဲ ပါတီ အချင်းချင်း သွေးခွဲ ပြည်သူ အချင်းချင်း ကြား သွေးခွဲ သူလျှို ဒင်း စစ် အကြမ်းဖက် အုပ်စု ဒီ လို ပဲ နှစ် ပေါင်း များစွာ ပြည်သူ နဲ့ အခြား လက်နက်ကိုင် ကို သွေးခွဲ အုပ်ချူပ် လာ တာ ဒါ ကြောင့် ဒီ မကောင်းဆိုးဝါး စစ်မိတ္ဆာ ဘီးလူး သရဲ တွေ ကို ဗမာ့ မြေ ပေါ် နေ အပြီးတိုင် ဖယ်ရှား ပစ် နိုင်ငံ အေးချမ်း မယ် စစ်ခွေး နိဂုံး 23
ကျွန်မ တို့ က မိဂေါင်း-င်ခံ အဲ့ လေ မိကောင်းဖခင် သား သမီး နော် 🤣,ab,5923,ကျွန်မ မိဂေါင်း-င်ခံ အဲ့ လေ မိကောင်းဖခင် သား သမီး နော် rolling_on_the_floor_laughing
ဒီ က လူ တွေ က သူ တို့ စောက်ထင်ကြီး မိ ပြီ ဆိုရင် ဘာ တွေ လုပ်လုပ် ကို မ ဖြစ် နိုင် ဘူး မ ဟုတ် ဘူး ဇွတ် ထိုင် ငြင်း ကာကွယ် ပေး တာ နော် ကာယကံရှင် တွေ က သူ တို့ တောင် ထွက် ရှင်း စရာ မ လို ဘူး,ab,4781,ဒီ လူ တွေ သူ စောက်ထင်ကြီး မိ ပြီ ဆိုရင် ဘာ တွေ လုပ်လုပ် ကို မ ဖြစ် နိုင် ဘူး မ ဟုတ် ဘူး ဇွတ် ထိုင် ငြင်း ကာကွယ် ပေး တာ နော် ကာယကံရှင် တွေ သူ တောင် ထွက် ရှင်း စရာ မ လို ဘူး
စောက်ပို အပြည့်အဝ တင် လိုက် အေ အေနိုး,ab,2846,စောက်ပို အပြည့်အဝ တင် လိုက် အေ အေနိုး
အဲ့လို ပဲ နော် ဘောမ တွေ ဆို တာ က ဘောမ ဖို့ လောက် ပဲ သိ တယ် ပြီး ကျ ရင် လည်း ဖင်ကုန်း ဖို့ မ မေ့ နဲ့ နော် ကြား လား 🤣 🤣 😂 😁 😁 😁,po,3345,အဲ့လို ပဲ နော် ဘောမ တွေ ဆို တာ ဘောမ ဖို့ လောက် ပဲ သိ တယ် ပြီး ကျ ရင် လည်း ဖင်ကုန်း ဖို့ မ မေ့ နဲ့ နော် ကြား လား rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes
ကိုယ့် ဖြစ်တည် မှု ကို လက်ခံ နိုင် ရ တယ် နင် က အော်ဂလီဆန် လွန်း တယ်,ab,1121,ကိုယ့် ဖြစ်တည် မှု ကို လက်ခံ နိုင် ရ တယ် နင် အော်ဂလီဆန် လွန်း တယ်
စောက်ပို တွေ ပြော တဲ့ အမတ် ဘာ မှ မ ဖြစ် သေး လို့ ဖြစ် ကြည့် သူ တို့ အာဏာ ထိ ကြည့် ထိုင်း စစ်တပ် လည်း သတ် မှာ စစ်အာဏာရှင် မှန် သမျှ အတူတူ ပဲ,po,3260,စောက်ပို တွေ ပြော တဲ့ အမတ် ဘာ မ ဖြစ် သေး လို့ ဖြစ် ကြည့် သူ အာဏာ ထိ ကြည့် ထိုင်း စစ်တပ် လည်း သတ် မှာ စစ်အာဏာရှင် မှန် သမျှ အတူတူ ပဲ
မိဘ ဆီ က ရော မောင်နှမ တွေ ဆီ က ရော ဆရာ ဆရာမ တွေ ဆီ က ရော လက်ဖြန့် တောင်း နေ ရ တာ 🥹,no,4548,မိဘ ဆီ ရော မောင်နှမ တွေ ဆီ ရော ဆရာ ဆရာမ တွေ ဆီ ရော လက်ဖြန့် တောင်း နေ ရ တာ face_holding_back_tears
အား နေ ရင် လူ အမြဲ လုပ် ချင် နေ တဲ့ ကောင်,ab,3713,အား နေ ရင် လူ အမြဲ လုပ် ချင် နေ တဲ့ ကောင်
၀ဋ်ကြွေး ရှိ လို့ လည်း နင် လူ ဖြစ် လာ တာ လေ အသက် က လီး လောက် နဲ့ စောက်ကြီးစောက်ကျယ် တွေ ပြော ပြီ,ab,1160,၀ဋ်ကြွေး ရှိ လို့ လည်း နင် လူ ဖြစ် လာ တာ လေ အသက် လီး လောက် နဲ့ စောက်ကြီးစောက်ကျယ် တွေ ပြော ပြီ
လူငယ် တွေ ကို နေရာ မ ပေး ချင် ရင် ဘာ ဖြစ် လို့ ရွေးကောက်ပွဲ တွေ လုပ် နေ လဲ စပ တဲ့ မှ ပဲ 😬😬😬😬,po,1972,လူငယ် တွေ ကို နေရာ မ ပေး ချင် ရင် ဘာ ဖြစ် လို့ ရွေးကောက်ပွဲ တွေ လုပ် နေ လဲ စပ တဲ့ ပဲ grimacing_face grimacing_face grimacing_face grimacing_face
$ရူး တွေ,ab,3504,$ရူး တွေ
$ရှက်ခွဲ တာ မ လုပ် သင့် $ဟာမ က လည်း ဘာ တွေ ပြော ထား လဲ မ သိ,ab,510,$ရှက်ခွဲ တာ မ လုပ် သင့် $ဟာမ လည်း ဘာ တွေ ပြော ထား လဲ မ သိ
မဖြိုး ရေ လူ ဘာ မှ မ ဖြစ် လို့ တော်သေး နော် မ တန် လိုက် တာ အဲ့လို မျိုး နဲ့ ရိုက် ခံ လိုက် ရ တာ,no,4598,မဖြိုး ရေ လူ ဘာ မ ဖြစ် လို့ တော်သေး နော် မ တန် လိုက် တာ အဲ့လို မျိုး နဲ့ ရိုက် ခံ လိုက် ရ တာ
ငါ့လိုးမ ဘယ် ပိုက်ဆံ နဲ့ သွား ဝယ် ရ မှာ လဲ စောက်ပေါ ကြီး တွေ မင်း တို့ လို အာဏာရူး တွေ လို ပြည်သူ တွေ ပိုက်ဆံ မ ရှိ ဘူး ဟ,po,1338,ငါ့လိုးမ ဘယ် ပိုက်ဆံ နဲ့ သွား ဝယ် ရ မှာ လဲ စောက်ပေါ ကြီး တွေ မင်း လို အာဏာရူး တွေ လို ပြည်သူ တွေ ပိုက်ဆံ မ ရှိ ဘူး ဟ
အရောင် ဆိုး စေ တယ် ဆို တာ သိ သလား,no,5960,အရောင် ဆိုး စေ တယ် ဆို တာ သိ သလား
Kmkl တွေ အကုန် leeee pl လျှပ်စစ် ဝန်ကြီးဌာန က kmkl တွေ အကုန် lee pl,ab,1450,Kmkl တွေ အကုန် leeee pl လျှပ်စစ် ဝန်ကြီးဌာန kmkl တွေ အကုန် lee pl
စပတ် ကို အာ နေ တာ ပဲ,ab,2310,စပတ် ကို အာ နေ တာ ပဲ
မ ပူ နဲ့ သူ တို့ က ကံကောင်း တယ် သူ တို့ ဆီ မှာ မြန်မာ က လို အရာရာ လိုက် ဖျက်စီး နေ တဲ့ အကြမ်းဖက် သူပုန် တွေ မ ရှိ ဘူး,no,4936,မ ပူ နဲ့ သူ ကံကောင်း တယ် သူ ဆီ မှာ မြန်မာ လို အရာရာ လိုက် ဖျက်စီး နေ တဲ့ အကြမ်းဖက် သူပုန် တွေ မ ရှိ ဘူး
ငါ တို့ ပဲ ကောင်းကောင်း နေ မယ် စား မယ် နင် တို့ ပြည်သူ တွေ စု ပြီး သာ ချို့ချို့တဲ့တဲ့ နေ ကြ စား ကြ ဆို တဲ့ သဘော ပါ ပဲ အဲ့လို နေ ချင် စား ချင် ငါ တို့ နဲ့ ခွေးမျိုး တူ အောင် လုပ် ဆို ပြီး ဂုဏ်ဆာ ချင် လည်း ဆာ ကြ ဦး မှာ ။,po,2839,ငါ ပဲ ကောင်းကောင်း နေ မယ် စား မယ် နင် ပြည်သူ တွေ စု ပြီး သာ ချို့ချို့တဲ့တဲ့ နေ ကြ စား ကြ ဆို တဲ့ သဘော ပါ ပဲ အဲ့လို နေ ချင် စား ချင် ငါ နဲ့ ခွေးမျိုး တူ အောင် လုပ် ဆို ပြီး ဂုဏ်ဆာ ချင် လည်း ဆာ ကြ ဦး မှာ ။
လီး စကား တွေ မ ပြော နဲ့ ငါလိုးမ ဒိုင် တွေ,ab,476,လီး စကား တွေ မ ပြော နဲ့ ငါလိုးမ ဒိုင် တွေ
ခု မှ ပဲ အား ရှိ တော့ တယ် အမ ရယ် အဖော် ရ သွား ပြီ မ လို့ 😁,no,4888,ခု ပဲ အား ရှိ တော့ တယ် အမ ရယ် အဖော် ရ သွား ပြီ မ လို့ beaming_face_with_smiling_eyes
မယားကြီး နေရာ နေ လိုက် မယ် ၊ မယားငယ် ကို အိပ်ဆေးခတ် ပြီး xာခန်း မှာ ယောက်ျား ၈ ယောက် ကို သလော် ခိုင်း မယ် ရှင်,ab,4008,မယားကြီး နေရာ နေ လိုက် မယ် ၊ မယားငယ် ကို အိပ်ဆေးခတ် ပြီး xာခန်း မှာ ယောက်ျား ၈ ယောက် ကို သလော် ခိုင်း မယ် ရှင်
ဖြစ် နေ တာ တွေ နားမလည် ရင် စပစား ဖော်လော်မော် မသော်မော်,ab,2760,ဖြစ် နေ တာ တွေ နားမလည် ရင် စပစား ဖော်လော်မော် မသော်မော်
မဲ စာရင်း ထွက် တည်းက အရှုံး အနိုင် ဆို တာ ပြတ်သား စွာ ပေါ်ပေါက် ပြီး သား အဲဒီ တည်းက အစိုးရ ကို တက် ခွင့်ပြု ရ မှာ လေ အခု မှ လွှတ်တော် ထဲ က လူ တွေ ညီညာ မှ ခွင့်ပြု မှာ ဆို တော့ အစ တည်းက ပြည်သူ တွေ ကို နေ ပူ ခံ မိုးရွာ ခံ ပြီး မဲ လာ ထည့် ခိုင်း စရာ လို လို့ လား 🤔 ကိုယ့် ဟာ ကိုယ် ရွေး ကြ လေ 🙄 🙄 ၃ လ စောင့် ခိုင်း တည်းက ဟို ဘက် ခြံ က ခွေး တွေ လို ချိုး တော့ မယ် ဆို တာ 😏 😏,po,4423,မဲ စာရင်း ထွက် တည်းက အရှုံး အနိုင် ဆို တာ ပြတ်သား စွာ ပေါ်ပေါက် ပြီး သား အဲဒီ တည်းက အစိုးရ ကို တက် ခွင့်ပြု ရ မှာ လေ အခု လွှတ်တော် ထဲ လူ တွေ ညီညာ ခွင့်ပြု မှာ ဆို တော့ အစ တည်းက ပြည်သူ တွေ ကို နေ ပူ ခံ မိုးရွာ ခံ ပြီး မဲ လာ ထည့် ခိုင်း စရာ လို လို့ လား thinking_face ကိုယ့် ဟာ ကိုယ် ရွေး ကြ လေ face_with_rolling_eyes face_with_rolling_eyes ၃ လ စောင့် ခိုင်း တည်းက ဟို ဘက် ခြံ ခွေး တွေ လို ချိုး တော့ မယ် ဆို တာ smirking_face smirking_face
ကိုယ့် လူမျိုး အချင်းချင်း ကို ကူညီ ပါ မ နှိမ့် ပါ နဲ့ တရား သော နည်းလမ်း နဲ့ ဆုံးဖြတ် ပေး ပါ အဲ့ မျက်နှာ တွေ ကို ငါ့ တော့ ပိတ်ရိုက် ချင် တယ်,ab,4705,ကိုယ့် လူမျိုး အချင်းချင်း ကို ကူညီ ပါ မ နှိမ့် ပါ နဲ့ တရား နည်းလမ်း နဲ့ ဆုံးဖြတ် ပေး ပါ အဲ့ မျက်နှာ တွေ ကို ငါ့ တော့ ပိတ်ရိုက် ချင် တယ်
ကလေး က ကာကွယ် ချင် စိတ် ရှိ တာ နဲ့ လုပ် နေ တဲ့ ပုံ က စောက်ရူး လို ကျပ်မပြည့် သလို ပဲ ကျပ် ပြည့် တဲ့ ကလေး အဲ့လို မ လုပ် ဘူး သန္ဓေမကောင်း တာ သိသာ တယ် အမ,ab,2654,ကလေး ကာကွယ် ချင် စိတ် ရှိ တာ နဲ့ လုပ် နေ တဲ့ ပုံ စောက်ရူး လို ကျပ်မပြည့် သလို ပဲ ကျပ် ပြည့် တဲ့ ကလေး အဲ့လို မ လုပ် ဘူး သန္ဓေမကောင်း တာ သိသာ တယ် အမ
အခွင့်အရေး တွေ ကို ဘာ မ ဟုတ် တာ နဲ့ မ ဆုံးရှုံး ချင် လို့ တဲ့ ငါ့လခွီး အသက် ပေး နေ တဲ့ လူ တွေ က ပျော် နေ လို့ လား စစ် တလရ ဖြစ် နေ တာ သိ လား ဖြစ် နေ တဲ့ ပြဿနာ တွေ ကို နားမလည် ဘူး တဲ့ စိတ်ချမ်းသာ တယ် $ရှက် လည်း မ ရှိ ဘူး ဖေလိုးမ ဒါ နဲ့ စကား ကို ဖြေးဖြေး ပြော အသက် လည်း ရှူ ပါ ဦး ဖလမ ရယ်,po,3553,အခွင့်အရေး တွေ ကို ဘာ မ ဟုတ် တာ နဲ့ မ ဆုံးရှုံး ချင် လို့ တဲ့ ငါ့လခွီး အသက် ပေး နေ တဲ့ လူ တွေ ပျော် နေ လို့ လား စစ် တလရ ဖြစ် နေ တာ သိ လား ဖြစ် နေ တဲ့ ပြဿနာ တွေ ကို နားမလည် ဘူး တဲ့ စိတ်ချမ်းသာ တယ် $ရှက် လည်း မ ရှိ ဘူး ဖေလိုးမ ဒါ နဲ့ စကား ကို ဖြေးဖြေး ပြော အသက် လည်း ရှူ ပါ ဦး ဖလမ ရယ်
မနေ့ တည်းက tt မှာ တွေ့ လိုက် တည်း က စိတ်ညစ် နေ တာ လာ ပြန် ပြီ 😏 😏,no,6560,မနေ့ တည်းက tt မှာ တွေ့ လိုက် တည်း စိတ်ညစ် နေ တာ လာ ပြန် ပြီ smirking_face smirking_face
အော် ဘယ်သူ တွေ များ လဲ လို့ ရှမ်း ပြည်နယ် ကိုယ်စားပြု ကိုး 😁 😁 😁,no,6750,အော် ဘယ်သူ တွေ လဲ လို့ ရှမ်း ပြည်နယ် ကိုယ်စားပြု ကိုး beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes
မိန်းကလေး က နစ်နာ လို့ မိန်းကလေး ဘက် က ပါ တယ် လေ ဘာ ဖြစ် လဲ မ ကျေနပ် လဲသေ,ab,129,မိန်းကလေး နစ်နာ လို့ မိန်းကလေး ဘက် ပါ တယ် လေ ဘာ ဖြစ် လဲ မ ကျေနပ် လဲသေ
ဒီ ဘဲ ကို ဘယ် ကောင် က မေး တာ လဲ ငါ လည်း မ မေး မိ ပါ ဘူး စောက်ဆရာကြီး ဆိုဒ် နဲ့ 😅 😅,ab,770,ဒီ ဘဲ ကို ဘယ် ကောင် မေး တာ လဲ ငါ လည်း မ မေး မိ ပါ ဘူး စောက်ဆရာကြီး ဆိုဒ် နဲ့ grinning_face_with_sweat grinning_face_with_sweat
အဲဒါ မင်း တို့ လို နီပိတ် တွေ အတုံးအရုန်း ဖြစ် လို့ သူ တို့ က အောင်သေအောင်သား စား နေ ကြ တာ ပေါ့ ကွာ မင်း အတွက် လည်း ပို စား ပေး လိမ့် မယ် သူ တို့ က 🤪🤪🤪,po,5080,အဲဒါ မင်း လို နီပိတ် တွေ အတုံးအရုန်း ဖြစ် လို့ သူ အောင်သေအောင်သား စား နေ ကြ တာ ပေါ့ ကွာ မင်း လည်း ပို စား ပေး လိမ့် မယ် သူ zany_face zany_face zany_face
ဒါ တွေ ရှိ တာ တောင် စစ်ခွေး မသာ ချည်း ပဲ ဖြစ် နေ တာ,po,4986,ဒါ တွေ ရှိ တာ တောင် စစ်ခွေး မသာ ချည်း ပဲ ဖြစ် နေ တာ
ဇင်အောင် မျက်နှာ က sဆရာကြီး ဆိုက် နဲ့ ကြည့် မ ရ ဘူး ကျက်သရေကိုမရှိ ဘူး,ab,4127,ဇင်အောင် မျက်နှာ sဆရာကြီး ဆိုက် နဲ့ ကြည့် မ ရ ဘူး ကျက်သရေကိုမရှိ ဘူး
ညီမလေး က တော့ အမှန်ကန် ဂျင်း တွေ ဇွတ် ထည့် နေ တာ နောက် က နှစ် ယောက် က နင့် ကြည့်ကြည့် ပြီး စောက်တင်း ပြော နေ တာ ကြား ရော ကြား လား 🥴,ab,4747,ညီမလေး တော့ အမှန်ကန် ဂျင်း တွေ ဇွတ် ထည့် နေ တာ နောက် နှစ် ယောက် နင့် ကြည့်ကြည့် ပြီး စောက်တင်း ပြော နေ တာ ကြား ရော ကြား လား woozy_face
အမယ် သူ က ဘာ မ ဟုတ် တာ နဲ့ တဲ့ ဘောမ အကြီးစား မ ကျက်သတုံးမ,ab,4572,အမယ် သူ ဘာ မ ဟုတ် တာ နဲ့ တဲ့ ဘောမ အကြီးစား မ ကျက်သတုံးမ
သူ ပြော သွား တာ အမှန် ပေမဲ့ လေးစား စရာ မ ဟုတ် ပါ ဘူး မြန်မာ ပြည် စစ်တပ် က ပြည်သူ ကို သတ် ပြီး သူ တို့ စစ်တပ် က ပြည်သူ ကို မ သတ် ဘူး သူ တို့ စစ်တပ် ကောင်း ကြောင်း ပြော တာ ပါ တကယ် ကျတော့ သူ တို့ စစ်တပ် က ပြည်သူ ကို သာ မ သတ် ကြ တာ ပြည်သူ တောင်းဆို တဲ့ ဒီမိုကရေစီ ကို လွယ်လွယ် မ ပေး ပါ ဘူး အခက်အခဲ များစွာ နဲ့ လုပ် နေ ကြ တာ ပါ သူ တို့ စစ်တပ် က မြန်မာ ပြည်သူ ပေါ် မ ကောင်း ပါ ဘူး မအလ ပြည်သူ သတ် နေ တာ ကို ထောက်ခံ အားပေး နေ တဲ့ သူ ပါ,po,4337,သူ ပြော သွား တာ အမှန် ပေမဲ့ လေးစား စရာ မ ဟုတ် ပါ ဘူး မြန်မာ ပြည် စစ်တပ် ပြည်သူ ကို သတ် ပြီး သူ စစ်တပ် ပြည်သူ ကို မ သတ် ဘူး သူ စစ်တပ် ကောင်း ပြော တာ ပါ တကယ် ကျတော့ သူ စစ်တပ် ပြည်သူ ကို သာ မ သတ် ကြ တာ ပြည်သူ တောင်းဆို တဲ့ ဒီမိုကရေစီ ကို လွယ်လွယ် မ ပေး ပါ ဘူး အခက်အခဲ များစွာ နဲ့ လုပ် နေ ကြ တာ ပါ သူ စစ်တပ် မြန်မာ ပြည်သူ ပေါ် မ ကောင်း ပါ ဘူး မအလ ပြည်သူ သတ် နေ တာ ကို ထောက်ခံ အားပေး နေ တဲ့ သူ ပါ
ဒီ ထက် မ က အဲ့ ထက် ကောင်း တဲ့ သီချင်း တွေ အများကြီး လုပ် နိုင် ပါ စေ,no,6808,ဒီ ထက် မ အဲ့ ထက် ကောင်း တဲ့ သီချင်း တွေ အများကြီး လုပ် နိုင် ပါ စေ
အမြဲ သတိ လေး ထား နော် ခေတ် အခါ က မ ကောင်း,no,2476,အမြဲ သတိ လေး ထား နော် ခေတ် အခါ မ ကောင်း
ပြော နေ တာ က အရမ်း ပဲ သိသာ တယ် တကယ် မ ဖြစ် ဘဲ နဲ့ ပြော ပြ နေ တာ မင်းသမီး ပီသ ပါ တယ် ချန် ထား ဦး မယ် မ ပြော သေး ဘူး အမှန်တရား က ခါး တယ် 😊,no,2488,ပြော နေ တာ အရမ်း ပဲ သိသာ တယ် တကယ် မ ဖြစ် ဘဲ နဲ့ ပြော ပြ နေ တာ မင်းသမီး ပီသ ပါ တယ် ချန် ထား ဦး မယ် မ ပြော သေး ဘူး အမှန်တရား ခါး တယ် smiling_face_with_smiling_eyes
ကလေး တွေ ပဲ သနား တယ်,no,6238,ကလေး တွေ ပဲ သနား တယ်
မအလ နဲ့ စကစ တွေ ရဲ့ ဗျူဟာ တွေ က တိုင်းပြည် အတွက် ဆုံးရှုံး နစ်နာ မှု ပါ ပဲ,po,4574,မအလ နဲ့ စကစ တွေ ရဲ့ ဗျူဟာ တွေ တိုင်းပြည် ဆုံးရှုံး နစ်နာ မှု ပါ ပဲ
ပြည်သူ တွေ အတွက် သွား တက် တာ ပါ,no,6591,ပြည်သူ တွေ သွား တက် တာ ပါ
ကန်တော့ ပါ တော် ဆို ပြီး ကို ပါး ၁၀ ချက် လောက် ရိုက် ခဲ့ ရ မှာ,ab,5623,ကန်တော့ ပါ တော် ဆို ပြီး ကို ပါး ၁၀ ချက် လောက် ရိုက် ခဲ့ ရ မှာ
မ ကြည့် ခင် က အလယ် က အညှပ် ခံ လိုက် ရ တဲ့ သူ ထင် လို့ ဆံပင်ညှပ်ဆိုင် က ဖြစ် နေ တယ် 🤧,no,3506,မ ကြည့် ခင် အလယ် အညှပ် ခံ လိုက် ရ တဲ့ သူ ထင် လို့ ဆံပင်ညှပ်ဆိုင် ဖြစ် နေ တယ် sneezing_face
ကာကွယ် ချင် စိတ် ရှိ တာ ကို အပြစ် မ ပြော လို ပါ ဘူး လူကြီး တွေ အပေါ် လုပ် တဲ့ အပြုအမူ က မ သွန်သင် ထား မှန်း သိသာ နေ လို့ ပါ,no,3172,ကာကွယ် ချင် စိတ် ရှိ တာ ကို အပြစ် မ ပြော လို ပါ ဘူး လူကြီး တွေ အပေါ် လုပ် တဲ့ အပြုအမူ မ သွန်သင် ထား မှန်း သိသာ နေ လို့ ပါ
မြန်မာ မှာ အစိတ်သား သူ တို့ မှာ 33 ကျပ် သား မျိုးမစစ် တွေ,po,1406,မြန်မာ မှာ အစိတ်သား သူ မှာ 33 ကျပ် သား မျိုးမစစ် တွေ
လွဲ နေ တာ မ ကြောက် တတ် မ ငို တတ် တဲ့ ကလေး က ငယ် ကတည်းက မ ကြောက် ဘူး မ ငို ဘူး,no,4528,လွဲ နေ တာ မ ကြောက် တတ် မ ငို တတ် တဲ့ ကလေး ငယ် ကတည်းက မ ကြောက် ဘူး မ ငို ဘူး
စစ် ထဲ ဝင် မယ် အာဏာသိမ်း မယ် ခွေးတိုးပေါက် က ဝင် တဲ့ စစ်တပ် ကိုယ်စားလှယ် အကုန် ဖြုတ် မယ် နှစ်ရှည် စီမံကိန်း,po,545,စစ် ထဲ ဝင် မယ် အာဏာသိမ်း မယ် ခွေးတိုးပေါက် ဝင် တဲ့ စစ်တပ် ကိုယ်စားလှယ် အကုန် ဖြုတ် မယ် နှစ်ရှည် စီမံကိန်း
