Priority,Comp Type,Comp Name,Test,Description
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Query is taking high CPU time on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,AWS Cloud,apiring+AC0-aws+AC0-prd,AWS EC2 Instances, Many instances have been removed recently from AWS Cloud apiring+AC0-aws+AC0-prd
Minor,AWS Cloud,apiring+AC0-aws+AC0-prd,AWS RDS Events, Many maintenance +AHs-system+AC0-update+AH0-
Minor,AWS Cloud,apiring+AC0-aws+AC0-prd,AWS RDS Events, Many maintenance +AHs-Summary+AH0-
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There have been many container termination failures for pod aws+AC0-guardduty+AC0-agent+AC0-dwkql of namespace amazon+AC0-guardduty on Kubernetes Cluster NewCoreBankingProdEnv
Minor,AWS Cloud,bluejay+AC0-workflow+AC0-prod,AWS RDS Events, Many maintenance +AHs-system+AC0-update+AH0-
Minor,Linux,dcofsaaprd02,TCP, Many TCP connections are established on the system dcofsaaprd02
Minor,AWS Cloud,bluejay+AC0-workflow+AC0-prod,AWS RDS Events, Many maintenance +AHs-Summary+AH0-
Minor,Oracle Cluster,Tanzu+AF8-Reporting+AF8-UAT+AF8-CDB+AF8-PT:1660,Oracle RAC Long Running Queries, Many long running queries for DB03 on Oracle Cluster Tanzu+AF8-Reporting+AF8-UAT+AF8-CDB+AF8-PT:1660
Minor,Oracle Cluster,Tanzu+AF8-Reporting+AF8-UAT+AF8-PDB+AF8-PT:1660,Oracle RAC Long Running Queries, Many long running queries for DB03 on Oracle Cluster Tanzu+AF8-Reporting+AF8-UAT+AF8-PDB+AF8-PT:1660
Critical,Microsoft SQL,CBMNET+AF8-FIGW+AF8-DB+AF8-SERVER+AF8-DC:1433,SQL Long Running Queries, Elapsed time of queries to the database FIGW+AF8-DB is high on Microsoft SQL CBMNET+AF8-FIGW+AF8-DB+AF8-SERVER+AF8-DC:1433
Minor,Kubernetes Cluster,flexcube+AC0-cbs+AC0-uat+AC0-tkc:6443,K8s Pods by Namespace, There are many waiting containers in pod obic+AC0-interest+AC0-extrp+AC0-service+AC0-9cd9c45b+AC0-lp257 of namespace javaic on Kubernetes Cluster flexcube+AC0-cbs+AC0-uat+AC0-tkc
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Jobs, Elapsed time of Oracle job is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Active Directory,DomainController+AC0-Prod+AC0-DC:389,Security Group Management, Few global groups has been changed
Minor,Active Directory,DomainController+AC0-Prod+AC0-DC:389,Security Group Management, Few members has been added to the global group
Critical,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Events, Many back+AC0-off restarting failed containers on Kubernetes Cluster NewCoreBankingProdEnv
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Maximum query elapsed time is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Long Running Queries, One or more long running queries have been detected on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Query is taking high CPU time on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Microsoft IIS Web,Sys01+AF8-Prod+AF8-DC+AF8-10.11.42.13:80,IIS Web Sites, There have been many HTTP Post requests to web site qms1540 of Microsoft IIS Web Sys01+AF8-Prod+AF8-DC+AF8-10.11.42.13:80
Minor,Oracle Database,eG+AF8-Backend+AF8-DB:1521:egrepdc,Oracle Sessions, Many blocked sessions on Oracle Database eG+AF8-Backend+AF8-DB:1521:egrepdc
Minor,AWS Cloud,HRIS+AF8-Prod,AWS RDS Events, Many maintenance +AHs-system+AC0-update+AH0-
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC,Oracle SGA, Parse CPU to parse elapsed ratio is low on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC
Minor,AWS Cloud,HRIS+AF8-Prod,AWS RDS Events, Many maintenance +AHs-Summary+AH0-
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC,Oracle SGA, Execute to Parse ratio is low on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC
Minor,Kubernetes Cluster,flexcube+AC0-cbs+AC0-uat+AC0-tkc:6443,K8s Pods by Namespace, There are many waiting containers in pod obic+AC0-interest+AC0-extrp+AC0-service+AC0-9cd9c45b+AC0-v7mpg of namespace javaic on Kubernetes Cluster flexcube+AC0-cbs+AC0-uat+AC0-tkc
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Scans, Percentage of long table scans is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Long Running Queries, One or more long running queries have been detected on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Query is taking high CPU time on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Maximum query elapsed time is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,SAP HANA Database,KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015,HANA Locks, Average exclusive lock wait time is high on SAP HANA Database KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015
Minor,SAP HANA Database,KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015,HANA Locks, Average shared lock wait time is high on SAP HANA Database KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There are many waiting containers in pod aws+AC0-guardduty+AC0-agent+AC0-ws4b9 of namespace amazon+AC0-guardduty on Kubernetes Cluster NewCoreBankingProdEnv
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There are many waiting containers in pod aws+AC0-guardduty+AC0-agent+AC0-hgf4p of namespace amazon+AC0-guardduty on Kubernetes Cluster NewCoreBankingProdEnv
Minor,Solaris,BIREPO+AF8-DB+AF8-Node+AF8-1,Disk Space, High disk space usage on /export/home/oracle drive of BIREPO+AF8-DB+AF8-Node+AF8-1
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Sessions, Many blocked sessions on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Major,Linux,BI+AF8-Reporting+AF8-Prod,Disk Space, High disk space usage on /oggdata drive of BI+AF8-Reporting+AF8-Prod
Minor,AWS Cloud,apiring+AC0-aws+AC0-prd,AWS RDS Events, Many maintenance +AHs-system+AC0-update+AH0-
Minor,AWS Cloud,bluejay+AC0-workflow+AC0-prod,AWS RDS Events, Many maintenance +AHs-system+AC0-update+AH0-
Minor,AWS Cloud,apiring+AC0-aws+AC0-prd,AWS RDS Events, Many maintenance +AHs-Summary+AH0-
Minor,AWS Cloud,bluejay+AC0-workflow+AC0-prod,AWS RDS Events, Many maintenance +AHs-Summary+AH0-
Critical,AWS Cloud,cbs+AC0-reporting+AC0-prd,AWS EC2 Instance Performance, CPU utilization is high for EC2 instance +AC0-:i+AC0-0055f4de0ca10c8d8 in region ap+AC0-southeast+AC0-1. This instance is hosted on AWS Cloud cbs+AC0-reporting+AC0-prd
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC,Oracle SGA, Parse CPU to parse elapsed ratio is low on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC,Oracle SGA, Execute to Parse ratio is low on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC
Major,Oracle Database,AWS+AF8-CBS+AF8-Reporting+AF8-DB,I/O Waits, High CPU utilization when waiting for I/O on AWS+AF8-CBS+AF8-Reporting+AF8-DB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Jobs, Elapsed time of Oracle job is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Maximum query elapsed time is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Query is taking high CPU time on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Deployments By Namespace, Deployment zipkin of namespace zipkin is in an unhealthy state on Kubernetes Cluster NewCoreBankingProdEnv
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Deployments By Namespace, Deployment zipkin of namespace zipkin is unavailable on Kubernetes Cluster NewCoreBankingProdEnv
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Long Running Queries, One or more long running queries have been detected on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-zb.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-Summary+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-zb.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSCustomerServiceBalance+AF8-1528+AFw-w3wp+ACM-9+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-zb.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-w3wp+ACM-26+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-zb.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSCustomerServiceBalance+AF8-1528+AFw-Summary+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-zb.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-w3wp+ACM-14+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-zb.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-w3wp+ACM-25+AH0-
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, Many containers of pod zipkin+AC0-5b44f75dbb+AC0-fncm5 of namespace zipkin are not ready on Kubernetes Cluster NewCoreBankingProdEnv
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There have been many container termination failures for pod aws+AC0-guardduty+AC0-agent+AC0-ws4b9 of namespace amazon+AC0-guardduty on Kubernetes Cluster NewCoreBankingProdEnv
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There have been many container termination failures for pod aws+AC0-guardduty+AC0-agent+AC0-hgf4p of namespace amazon+AC0-guardduty on Kubernetes Cluster NewCoreBankingProdEnv
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There are many waiting containers in pod zipkin+AC0-5b44f75dbb+AC0-fncm5 of namespace zipkin on Kubernetes Cluster NewCoreBankingProdEnv
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-zb.kbzbank.com,Memory Usage, Memory utilization is high on apisys+AC0-prod+AC0-zb.kbzbank.com
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSCustomerServiceBalance+AF8-1528+AFw-w3wp+ACM-7+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-w3wp+ACM-20+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-w3wp+ACM-13+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSCustomerServiceBalance+AF8-1528+AFw-w3wp+ACM-5+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-Summary+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSCustomerServiceBalance+AF8-1528+AFw-w3wp+ACM-6+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSCustomerServiceBalance+AF8-1528+AFw-Summary+AH0-
Minor,Microsoft IIS Web,apisys+AC0-prod+AC0-za.kbzbank.com:80,.NET CLR, Load failures rate is high +AHs-CBSAccountingService+AF8-1568+AFw-w3wp+ACM-14+AH0-
Critical,AWS Cloud,bluejay+AC0-workflow+AC0-prod,AWS Relational Database Service (RDS), CPU utilization is high for RDS instance blujanalyticsprod of type blujanalyticsprod in ap+AC0-southeast+AC0-1 region of AWS Cloud bluejay+AC0-workflow+AC0-prod
Minor,Oracle Cluster,Tanzu+AF8-Reporting+AF8-UAT+AF8-CDB+AF8-PT:1660,Oracle RAC Long Running Queries, Many long running queries for DB03 on Oracle Cluster Tanzu+AF8-Reporting+AF8-UAT+AF8-CDB+AF8-PT:1660
Major,Oracle Cluster,Tanzu+AF8-Reporting+AF8-UAT+AF8-PDB+AF8-PT:1660,Oracle RAC Long Running Queries, Many long running queries for DB03 on Oracle Cluster Tanzu+AF8-Reporting+AF8-UAT+AF8-PDB+AF8-PT:1660
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC,Oracle SGA, Parse CPU to parse elapsed ratio is low on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC,Oracle SGA, Execute to Parse ratio is low on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Scans, Percentage of long table scans is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Critical,Oracle WebLogic,dcofsaa+AF8-edq+AF8-server1:7104,TCP Port Status, TCP connection could not be established to port 7104 for Oracle WebLogic dcofsaa+AF8-edq+AF8-server1:7104
Minor,Oracle Database,EYLOAN+AF8-Oracle+AF8-DB:1880:dcey,Oracle SGA, Buffer cache hit ratio is low on Oracle Database EYLOAN+AF8-Oracle+AF8-DB:1880:dcey
Minor,Oracle Database,eG+AF8-Backend+AF8-DB+AF8-DR:1521:egrepdr,Oracle SGA, Buffer cache hit ratio is low on Oracle Database eG+AF8-Backend+AF8-DB+AF8-DR:1521:egrepdr
Minor,Oracle Database,AWS+AF8-CBS+AF8-Reporting+AF8-DB,I/O Waits, High CPU utilization when waiting for I/O on AWS+AF8-CBS+AF8-Reporting+AF8-DB
Critical,Oracle WebLogic,dcofsaa+AF8-edq+AF8-server1:7104,WebLogic Server,Alert detected for Server availability of WebLogic Server
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Long Running Queries, One or more long running queries have been detected on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Maximum query elapsed time is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Query is taking high CPU time on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,gsysdc,I/O Waits, High CPU utilization when waiting for I/O on gsysdc
Critical,Kubernetes Cluster,flexcube+AC0-cbs+AC0-mig+AC0-tkc:6443,K8s Events, Many back off pulling images on Kubernetes Cluster flexcube+AC0-cbs+AC0-mig+AC0-tkc
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC,Oracle SGA, Parse CPU to parse elapsed ratio is low on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Jobs, Elapsed time of Oracle job is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Kubernetes Cluster,flexcube+AC0-cbs+AC0-uat+AC0-tkc:6443,K8s Pods by Namespace, There are many waiting containers in pod obic+AC0-interest+AC0-extrp+AC0-service+AC0-9cd9c45b+AC0-lp257 of namespace javaic on Kubernetes Cluster flexcube+AC0-cbs+AC0-uat+AC0-tkc
Minor,SAP HANA Database,KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015,HANA Locks, Average shared lock wait time is high on SAP HANA Database KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015
Minor,SAP HANA Database,KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015,HANA Locks, Average exclusive lock wait time is high on SAP HANA Database KBZ+AC0-PRD+AC0-DB+AC0-SYSDB:35015
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Long Running Queries, One or more long running queries have been detected on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Query is taking high CPU time on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Maximum query elapsed time is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,AWS Cloud,KBZT,AWS EC2 Instances, Many instances have been removed recently from AWS Cloud KBZT
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There are many waiting containers in pod zipkin+AC0-5b44f75dbb+AC0-jbk2j of namespace zipkin on Kubernetes Cluster NewCoreBankingProdEnv
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, Many containers of pod zipkin+AC0-5b44f75dbb+AC0-jbk2j of namespace zipkin are not ready on Kubernetes Cluster NewCoreBankingProdEnv
Minor,AWS Cloud,HRIS+AF8-Prod,AWS RDS Events, Many maintenance +AHs-system+AC0-update+AH0-
Minor,AWS Cloud,HRIS+AF8-Prod,AWS RDS Events, Many maintenance +AHs-Summary+AH0-
Major,AWS Cloud,Apigee,AWS EC2 Instance Performance, Actual CPU credit balance is high +AHs-ap+AC0-southeast+AC0-1:+AC0-:i+AC0-04b74635ad73c1a93+AH0-
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC,Oracle SGA, Parse CPU to parse elapsed ratio is low on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC
Minor,Kubernetes Cluster,flexcube+AC0-cbs+AC0-uat+AC0-tkc:6443,K8s Pods by Namespace, There are many waiting containers in pod obic+AC0-interest+AC0-extrp+AC0-service+AC0-9cd9c45b+AC0-v7mpg of namespace javaic on Kubernetes Cluster flexcube+AC0-cbs+AC0-uat+AC0-tkc
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Scans, Percentage of long table scans is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,InfiniBand Switch,dc01scsw+AC0-iba01,IB SMA Port, SMA port Port 28 in down state
Minor,InfiniBand Switch,dc01scsw+AC0-iba01,IB SMA Port, SMA port Port 20 in down state
Minor,InfiniBand Switch,dc01scsw+AC0-iba01,IB SMA Port, SMA port Port 30 in down state
Minor,InfiniBand Switch,dc01scsw+AC0-iba01,IB SMA Port, SMA port Port 22 in down state
Minor,Microsoft IIS Web,Sys02+AF8-Prod+AF8-DC+AF8-10.11.42.14,Handles Usage, Many processes are using handles above the configured limit on server Sys02+AF8-Prod+AF8-DC+AF8-10.11.42.14
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Long Running Queries, One or more long running queries have been detected on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Query is taking high CPU time on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Maximum query elapsed time is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,AWS+AF8-CBS+AF8-Reporting+AF8-DB,I/O Waits, High CPU utilization when waiting for I/O on AWS+AF8-CBS+AF8-Reporting+AF8-DB
Minor,Oracle Database,New+AF8-CB+AF8-DB:1665:kbzprddcpdb,Oracle User Connections, Many blocked connections for user SFCUBS on Oracle Database New+AF8-CB+AF8-DB:1665:kbzprddcpdb
Minor,Oracle Database,eG+AF8-Backend+AF8-DB:1521:egrepdc,Oracle Sessions, Many blocked sessions on Oracle Database eG+AF8-Backend+AF8-DB:1521:egrepdc
Minor,Oracle Database,eG+AF8-Backend+AF8-DB:1521:egrepdc,Oracle User Connections, Many blocked connections for user egurkha on Oracle Database eG+AF8-Backend+AF8-DB:1521:egrepdc
Minor,Oracle Database,New+AF8-CB+AF8-DB+AF8-DR,I/O Waits, High CPU utilization when waiting for I/O on New+AF8-CB+AF8-DB+AF8-DR
Minor,Oracle Database,New+AF8-CB+AF8-CDB+AF8-DR,I/O Waits, High CPU utilization when waiting for I/O on New+AF8-CB+AF8-CDB+AF8-DR
Minor,Solaris,BIREPO+AF8-DB+AF8-Node+AF8-1,Disk Space, High disk space usage on /export/home/orarom drive of BIREPO+AF8-DB+AF8-Node+AF8-1
Critical,AWS Cloud,cbs+AC0-reporting+AC0-prd,AWS EC2 Instance Performance, CPU utilization is high for EC2 instance +AC0-:i+AC0-0055f4de0ca10c8d8 in region ap+AC0-southeast+AC0-1. This instance is hosted on AWS Cloud cbs+AC0-reporting+AC0-prd
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC,Oracle SGA, Parse CPU to parse elapsed ratio is low on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDC
Major,Oracle Database,BIREPOPDB:1665:KBZBIREPOPDB,Oracle Wait Class, Other waits are taking time on Oracle Database BIREPOPDB:1665:KBZBIREPOPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Jobs, Elapsed time of Oracle job is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Critical,Oracle WebLogic,dcofsaa+AF8-edq+AF8-server1:7104,JMX Connection to JVM, JMX connection to the JVM of Oracle WebLogic dcofsaa+AF8-edq+AF8-server1:7104 failed
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle Long Running Queries, One or more long running queries have been detected on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Maximum query elapsed time is high on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB,Oracle SQL Workload, Query is taking high CPU time on Oracle Database BI+AF8-Reporting+AF8-Prod+AF8-DB:1665:KBZRPTDCPDB
Minor,Oracle Database,New+AF8-CB+AF8-DB+AF8-DR:1665:kbzprddcpdb,Oracle Jobs, Elapsed time of Oracle job is high on Oracle Database New+AF8-CB+AF8-DB+AF8-DR:1665:kbzprddcpdb
Minor,Oracle Database,New+AF8-CB+AF8-DB+AF8-DR:1665:kbzprddcpdb,Oracle Jobs, CPU usage of Oracle job is high on Oracle Database New+AF8-CB+AF8-DB+AF8-DR:1665:kbzprddcpdb
Critical,eG Agent,eG+AF8-RUM+AF8-Agent,Tests, Test AWSCldWatchLogsTest is not reporting at configured measure period on eG Agent eG+AF8-RUM+AF8-Agent
Minor,Oracle Database,New+AF8-CB+AF8-DB:1665:kbzprddcpdb,Oracle Jobs, Elapsed time of Oracle job is high on Oracle Database New+AF8-CB+AF8-DB:1665:kbzprddcpdb
Minor,Oracle Database,New+AF8-CB+AF8-DB:1665:kbzprddcpdb,Oracle Jobs, CPU usage of Oracle job is high on Oracle Database New+AF8-CB+AF8-DB:1665:kbzprddcpdb
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, There are many waiting containers in pod zipkin+AC0-5b44f75dbb+AC0-jbk2j of namespace zipkin on Kubernetes Cluster NewCoreBankingProdEnv
Minor,AWS Cloud,HRIS+AF8-Prod,AWS RDS Events, Many maintenance +AHs-Summary+AH0-
Minor,Kubernetes Cluster,NewCoreBankingProdEnv:443,K8s Pods by Namespace, Many containers of pod zipkin+AC0-5b44f75dbb+AC0-jbk2j of namespace zipkin are not ready on Kubernetes Cluster NewCoreBankingProdEnv
Minor,AWS Cloud,HRIS+AF8-Prod,AWS RDS Events, Many maintenance +AHs-system+AC0-update+AH0-
Minor,Microsoft IIS Web,Sys02+AF8-Prod+AF8-DR+AF8-10.11.170.14,Disk Activity, Writes to disk Disk0 C: D: are slow on Sys02+AF8-Prod+AF8-DR+AF8-10.11.170.14
