Priority,Description,Start Time,Duration
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 20:32 ",4m 19s
Minor, High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB," Aug 01, 2025 20:31 ",18m 26s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:31 ",40s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:31 ",40s
Minor, Many maintenance {system-update}," Aug 01, 2025 20:30 ",10m 20s
Minor, There have been many container termination failures for pod aws-guardduty-agent-xw57m of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 20:30 ",4m 12s
Minor, Many maintenance {Summary}," Aug 01, 2025 20:30 ",10m 24s
Critical, Many HTTP 5XX responses on load balancer app/flexcube-loadbalancer-prod1/dd97bd39a3f8c9b6 of AWS Cloud flexcube-corebanking-prd," Aug 01, 2025 20:29 ",5m 11s
Minor, CPU usage of Oracle job is high on Oracle Database New_CB_DB:1665:kbzprddcpdb," Aug 01, 2025 20:27 ",9m 23s
Minor, Elapsed time of Oracle job is high on Oracle Database New_CB_DB:1665:kbzprddcpdb," Aug 01, 2025 20:27 ",9m 23s
Major, High disk space usage on /var drive of BIREPO_DB_Node_1," Aug 01, 2025 20:27 ",31m 7s
Minor, High disk space usage on /var/share/sstore/repo drive of BIREPO_DB_Node_1," Aug 01, 2025 20:27 ",20m 56s
Minor, CPU usage of Oracle job is high on Oracle Database New_CB_DB_DR:1665:kbzprddcpdb," Aug 01, 2025 20:27 ",9m 33s
Minor, Elapsed time of Oracle job is high on Oracle Database New_CB_DB_DR:1665:kbzprddcpdb," Aug 01, 2025 20:27 ",9m 33s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 20:27 ",4m 41s
Minor, Write rate to datafile o1_mf_apidat_d_l9c55n8k_.dbf is high on Oracle Database on Cloud APIRDB:1580," Aug 01, 2025 20:26 ",34m 11s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:26 ",41s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:26 ",41s
Minor, Elapsed time of Oracle job is high on Oracle Database ONPREM_KBZPRDDCPDB_PDB:1580:KBZPRDDCPDB," Aug 01, 2025 20:26 ",9m 48s
Minor, CPU usage of Oracle job is high on Oracle Database ONPREM_KBZPRDDCPDB_PDB:1580:KBZPRDDCPDB," Aug 01, 2025 20:26 ",9m 53s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:25 ",2m 8s
Minor, There have been many container termination failures for pod aws-guardduty-agent-dwkql of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 20:25 ",9m 27s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:24 ",5m 11s
Minor, There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-lp257 of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 20:23 ",10m 23s
Critical, Many back-off restarting failed containers on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 20:23 ",4m 21s
Minor, One or more long running queries have been detected on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:22 ",3m 2s
Minor, Queue length is high {SMSBrix1505\w3wp#12}," Aug 01, 2025 20:22 ",35m 26s
Minor, Queue length is high {SMSBrix1505\Summary}," Aug 01, 2025 20:22 ",35m 32s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 20:21 ",5m 13s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:21 ",1m 1s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:21 ",1m 1s
Minor, Many blocked connections for user KBZREPS on Oracle Cluster Tanzu_Reporting_UAT_CDB_PT:1660," Aug 01, 2025 20:21 ",33m 45s
Minor, Many willing-to-wait misses for redo allocation latches on Oracle Database eG_Backend_DB:1521:egrepdc," Aug 01, 2025 20:20 ",1h 27m
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:20 ",2m 10s
Major, The SQL compilation rate is high on Microsoft SQL server QPV2DB_Prod:1433," Aug 01, 2025 20:20 ",10m 13s
Minor, Many maintenance {system-update}," Aug 01, 2025 20:20 ",14m 40s
Minor, Many maintenance {Summary}," Aug 01, 2025 20:20 ",14m 41s
Minor, There are many waiting containers in pod aws-guardduty-agent-4jw5w of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 20:19 ",59m 44s
Minor, Many instances have been removed recently from AWS Cloud AWS_Security," Aug 01, 2025 20:19 ",13m 43s
Minor, High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB," Aug 01, 2025 20:18 ",4m 21s
Major, High disk space usage on /export/home/oracle drive of BIREPO_DB_Node_1," Aug 01, 2025 20:17 ",30m 51s
Minor, Many maintenance {system-update}," Aug 01, 2025 20:17 ",9m 35s
Minor, Many maintenance {Summary}," Aug 01, 2025 20:17 ",9m 36s
Minor, Database insert time is high for servlet Upload on eG Manager 10.13.96.40:7077," Aug 01, 2025 20:17 ",1h 36m
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 20:16 ",4m 52s
Minor, Memory utilization is high on apisys-prod-zb.kbzbank.com," Aug 01, 2025 20:16 ",9m 14s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:16 ",1m 49s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:16 ",1m 49s
Minor, Load failures rate is high {CBSAccountingService_1568\Summary}," Aug 01, 2025 20:15 ",35m 6s
Minor, Load failures rate is high {CBSAccountingService_1568\w3wp#13}," Aug 01, 2025 20:15 ",30m 8s
Minor, Load failures rate is high {CBSAccountingService_1568\w3wp#12}," Aug 01, 2025 20:15 ",35m 6s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#6}," Aug 01, 2025 20:15 ",39m 47s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#4}," Aug 01, 2025 20:15 ",35m 6s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#5}," Aug 01, 2025 20:15 ",35m 6s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\Summary}," Aug 01, 2025 20:15 ",39m 47s
Minor, Load failures rate is high {CBSAccountingService_1568\w3wp#19}," Aug 01, 2025 20:15 ",35m 12s
Minor, Many queued requests to disk /archive_new on eG_Backend_DB," Aug 01, 2025 20:15 ",1h 36m
Minor, Memory utilization is high on node ip-10-207-5-121.kbzbank.com of Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 20:15 ",1D 23h
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:15 ",4m 52s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:14 ",2m 31s
Major, Other waits are taking time on Oracle Database BIREPOPDB:1665:KBZBIREPOPDB," Aug 01, 2025 20:14 ",10m 44s
Minor, There have been many container termination failures for pod aws-guardduty-agent-4jw5w of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 20:14 ",5m 27s
Minor, There are many waiting containers in pod aws-guardduty-agent-487gg of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 20:14 ",51m 8s
Minor, Many TCP connections are established on the system dcofsaaprd02," Aug 01, 2025 20:13 ",18h 19m
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 20:12 ",4m 12s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:11 ",1m 43s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:11 ",1m 43s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:10 ",20s
Minor, There have been many container termination failures for pod aws-guardduty-agent-487gg of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 20:09 ",4m 30s
Minor, There are many waiting containers in pod aws-guardduty-agent-hdsz6 of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 20:09 ",2h 4m
Minor, Buffer cache hit ratio is low on Oracle Database ONPREM_KBZPRDSTBY_CDB:1580:KBZPRDSTBY," Aug 01, 2025 20:09 ",10m 8s
Minor, Many blocked sessions on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:09 ",20m 10s
Minor, There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-lp257 of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 20:08 ",10m 23s
Minor, Many blocked sessions on Oracle Database eG_Backend_DB:1521:egrepdc," Aug 01, 2025 20:08 ",1h 48m
Minor, Many blocked connections for user KBZREPS on Oracle Cluster Tanzu_Reporting_UAT_PDB_PT:1660," Aug 01, 2025 20:08 ",19m 37s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 20:07 ",3m 25s
Critical, AWS VPN tunnel Huawei_MMF_KBZ_Prod_VPC_Static_Routing:vpn-012b9c95483df4280 is down in region ap-southeast-1 of AWS Cloud KBZT," Aug 01, 2025 20:07 ",1m 48s
Minor, Volume writes on EC2 instance -:i-0b6a0a18569dec052 are high in region ap-southeast-1 of AWS Cloud apiring-aws-prd," Aug 01, 2025 20:07 ",4m 15s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:07 ",1m 37s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:07 ",1m 37s
Minor, Average shared lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015," Aug 01, 2025 20:06 ",29m 3s
Minor, Average exclusive lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015," Aug 01, 2025 20:06 ",29m 3s
Minor, Many maintenance {system-update}," Aug 01, 2025 20:05 ",5m 57s
Minor, Many maintenance {Summary}," Aug 01, 2025 20:05 ",6m 2s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:04 ",2m 6s
Minor, Memory utilization is high for pod fluent-bit-pgv6z of namespace amazon-cloudwatch on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 20:04 ",5m 19s
Minor, There are many waiting containers in pod aws-guardduty-agent-ws4b9 of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 20:04 ",2h
Minor, There have been many container termination failures for pod aws-guardduty-agent-hdsz6 of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 20:04 ",5m 19s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:04 ",1m 8s
Minor, There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-v7mpg of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 20:03 ",25m 17s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 20:02 ",2m 42s
Critical, Average wait time is high for SQLAgent - TSQL JobStep (Job 0x77D9FD6C6A5DC24F9E2059FB63245118 : Step 1) client connections to Microsoft SQL CBMNET_FIGW_DB_SERVER_DC:1433," Aug 01, 2025 20:01 ",5m 5s
Critical, I/O time of queries is high for SQLAgent - TSQL JobStep (Job 0x0FD6737E83ABE146822D2680B8F596B3 : Step 1) clients connecting to Microsoft SQL CBMNET_FIGW_DB_SERVER_DC:1433," Aug 01, 2025 20:01 ",5m 5s
Critical, Average wait time is high for SQLAgent - TSQL JobStep (Job 0x0FD6737E83ABE146822D2680B8F596B3 : Step 1) client connections to Microsoft SQL CBMNET_FIGW_DB_SERVER_DC:1433," Aug 01, 2025 20:01 ",5m 6s
Minor, Many maintenance {system-update}," Aug 01, 2025 20:01 ",19m 14s
Critical, Many back-off restarting failed containers on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 20:01 ",5m 26s
Minor, Many maintenance {Summary}," Aug 01, 2025 20:01 ",19m 14s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:01 ",2m 22s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 20:01 ",2m 22s
Minor, High CPU utilization when waiting for I/O on eG_Backend_DB," Aug 01, 2025 20:01 ",1h 47m
Minor, Many long running queries for DB03 on Oracle Cluster Tanzu_Reporting_UAT_CDB_PT:1660," Aug 01, 2025 20:00 ",5m 2s
Minor, There have been many container termination failures for pod aws-guardduty-agent-ws4b9 of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 20:00 ",4m 9s
Minor, Many long running queries for DB03 on Oracle Cluster Tanzu_Reporting_UAT_PDB_PT:1660," Aug 01, 2025 20:00 ",9m 28s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:59 ",2m 12s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:59 ",1m 30s
Minor, Buffer cache hit ratio is low on Oracle Database ONPREM_KBZPRDSTBY_CDB:1580:KBZPRDSTBY," Aug 01, 2025 19:59 ",5m 22s
Minor, IO splits to disk Disk1 D: on Sys01_Prod_DC_10.11.42.13 is high," Aug 01, 2025 19:59 ",5m 5s
Minor, Many blocked connections for user _BACKGROUND on Oracle Database eG_Backend_DB:1521:egrepdc," Aug 01, 2025 19:59 ",1h 35m
Minor, Many blocked connections for user egurkha on Oracle Database eG_Backend_DB:1521:egrepdc," Aug 01, 2025 19:59 ",1h 35m
Minor, One or more long running queries have been detected on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:58 ",1m 47s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 19:57 ",2m 7s
Critical, Percentage of used total heap memory in the JVM of Oracle WebLogic IB_UAT_fcdbMServer2:17502 is high," Aug 01, 2025 19:57 ",4m 51s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:56 ",2m 5s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:56 ",2m 5s
Minor, Buffer cache hit ratio is low on Oracle Database EYLOAN_Oracle_DB:1880:dcey," Aug 01, 2025 19:56 ",20m 30s
Minor, Average exclusive lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015," Aug 01, 2025 19:56 ",4m 48s
Minor, Memory utilization is high on node ip-10-207-5-121.kbzbank.com of Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 19:55 ",10m 5s
Minor, Many blocked sessions on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:54 ",4m 57s
Minor, Many maintenance {system-update}," Aug 01, 2025 19:54 ",14m 50s
Minor, Many maintenance {Summary}," Aug 01, 2025 19:53 ",14m 54s
Minor, One or more long running queries have been detected on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:53 ",1m 25s
Minor, Many blocked connections for user KBZREPS on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:52 ",34m 32s
Minor, Many long running queries for DB03 on Oracle Cluster Tanzu_Reporting_UAT_PDB_PT:1660," Aug 01, 2025 19:52 ",1m 50s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 19:52 ",2m
Minor, Average shared lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015," Aug 01, 2025 19:52 ",9m 3s
Minor, Many maintenance {system-update}," Aug 01, 2025 19:51 ",10m 9s
Minor, Many maintenance {Summary}," Aug 01, 2025 19:51 ",10m 14s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:51 ",2m 25s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:51 ",2m 25s
Critical, JMX connection to the JVM of Oracle WebLogic dcofsaa_MServer02:7004 failed," Aug 01, 2025 19:50 ",5m 5s
Critical, JMX connection to the JVM of Oracle WebLogic dcofsaa_MServer01:7003 failed," Aug 01, 2025 19:50 ",5m 5s
Minor, Many redo log space requests have been issued on Oracle Database on Cloud APIRDB:1580," Aug 01, 2025 19:49 ",1h 14m
Minor, Many redo buffer entries exist on Oracle Database on Cloud APIRDB:1580," Aug 01, 2025 19:49 ",1h 14m
Major, Many long running queries for DB03 on Oracle Cluster Tanzu_Reporting_UAT_PDB_PT:1660," Aug 01, 2025 19:49 ",3m 31s
Minor, There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-lp257 of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 19:48 ",14m 27s
Minor, Many instances have been removed recently from AWS Cloud Apigee," Aug 01, 2025 19:48 ",13m 35s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 19:47 ",1m 40s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:46 ",2m 20s
Minor, High disk space usage on /var drive of BIREPO_DB_Node_1," Aug 01, 2025 19:46 ",40m 33s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:46 ",2m 20s
Major, High disk space usage on /export/home/orarom drive of BIREPO_DB_Node_1," Aug 01, 2025 19:46 ",51m 24s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\Summary}," Aug 01, 2025 19:46 ",49m 20s
Minor, Load failures rate is high {CBSCustomerServiceBalance_1528\w3wp#8}," Aug 01, 2025 19:46 ",49m 20s
Minor, Load failures rate is high {CBSAccountingService_1568\w3wp#25}," Aug 01, 2025 19:46 ",49m 20s
Minor, Load failures rate is high {CBSAccountingService_1568\Summary}," Aug 01, 2025 19:46 ",49m 20s
Minor, Load failures rate is high {CBSAccountingService_1568\w3wp#24}," Aug 01, 2025 19:46 ",49m 20s
Minor, Load failures rate is high {CBSAccountingService_1568\w3wp#13}," Aug 01, 2025 19:46 ",49m 24s
Minor, High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB," Aug 01, 2025 19:45 ",13m 38s
Critical, High disk space usage on /data04 drive of AWS_CBS_Reporting_DB," Aug 01, 2025 19:44 ",1h 2m
Critical, High disk space usage on /data02 drive of AWS_CBS_Reporting_DB," Aug 01, 2025 19:44 ",1h 2m
Critical, High disk space usage on /data03 drive of AWS_CBS_Reporting_DB," Aug 01, 2025 19:44 ",1h 2m
Critical, High disk space usage on /data01 drive of AWS_CBS_Reporting_DB," Aug 01, 2025 19:44 ",1h 2m
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:44 ",2m 6s
Minor, There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-v7mpg of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 19:43 ",14m 33s
Major, AWS VPN tunnel Huawei-VPN-KBZ-UAT-VPC:vpn-093fb37d16116b2dd is down in region ap-southeast-1 of AWS Cloud KBZT," Aug 01, 2025 19:43 ",13m 40s
Major, AWS VPN tunnel -:vpn-093fb37d16116b2dd is down in region ap-southeast-1 of AWS Cloud KBZT," Aug 01, 2025 19:43 ",5m 13s
Critical, Many back off pulling images on Kubernetes Cluster flexcube-cbs-mig-tkc," Aug 01, 2025 19:43 ",10m 10s
Major, Many HTTP 5XX responses on load balancer app/flexcube-loadbalancer-prod1/dd97bd39a3f8c9b6 of AWS Cloud flexcube-corebanking-prd," Aug 01, 2025 19:42 ",4m 8s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:41 ",2m 50s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:41 ",2m 50s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 19:41 ",1m 56s
Critical, Many back-off restarting failed containers on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 19:41 ",15m 20s
Minor, Load failures rate is high {CBSAccountingService_1568\Summary}," Aug 01, 2025 19:40 ",5m 10s
Critical, TCP connection failed when accessing the web page QMS-Portal. This is affecting External Web QMS," Aug 01, 2025 19:40 ",2h 22m
Critical, The web page QMS-Portal is not available for external access. This is affecting External Web QMS," Aug 01, 2025 19:40 ",2h 22m
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:40 ",1m 25s
Minor, Many long running queries for DB03 on Oracle Cluster Tanzu_Reporting_UAT_CDB_PT:1660," Aug 01, 2025 19:39 ",4m 41s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:39 ",3m 11s
Minor, Many blocked connections for user COMMONCORE on Oracle Database New_CB_DB:1665:kbzprddcpdb," Aug 01, 2025 19:38 ",13m 38s
Critical, Many container images are failed to pull/create/start on Kubernetes Cluster flexcube-cbs-mig-tkc," Aug 01, 2025 19:37 ",5m 15s
Minor, Average exclusive lock wait time is high on SAP HANA Database KBZ-PRD-DB-SYSDB:35015," Aug 01, 2025 19:36 ",10m 7s
Minor, Maximum query elapsed time is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:36 ",3m 26s
Major, High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB," Aug 01, 2025 19:36 ",4m 21s
Minor, Query is taking high CPU time on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:36 ",3m 26s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 19:36 ",1m 25s
Minor, High disk space usage on /export/home/oracle drive of BIREPO_DB_Node_1," Aug 01, 2025 19:35 ",41m 35s
Minor, Percentage of long table scans is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:35 ",1m 15s
Minor, Many blocked sessions on Oracle Database eG_Backend_DB:1521:egrepdc," Aug 01, 2025 19:34 ",14m 42s
Minor, There are many waiting containers in pod obic-interest-extrp-service-9cd9c45b-lp257 of namespace javaic on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 19:34 ",9m 21s
Minor, Memory utilization is high for pod prometheus-0 of namespace monitoring on Kubernetes Cluster flexcube-cbs-uat-tkc," Aug 01, 2025 19:34 ",5m 5s
Minor, Elapsed time of Oracle job is high on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDCPDB," Aug 01, 2025 19:34 ",3m 25s
Minor, Buffer cache hit ratio is low on Oracle Database eG_Backend_DB_DR:1521:egrepdr," Aug 01, 2025 19:33 ",24m 44s
Minor, Many instances have been removed recently from AWS Cloud cbs-reporting-prd," Aug 01, 2025 19:32 ",15m 33s
Critical, Memory utilization is high for pod prometheus-0 of namespace monitoring on Kubernetes Cluster flexcube-cbs-prod-tkc," Aug 01, 2025 19:32 ",5m 16s
Minor, Parse CPU to parse elapsed ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 19:32 ",41s
Minor, High CPU utilization when waiting for I/O on AWS_CBS_Reporting_DB," Aug 01, 2025 19:32 ",4m 46s
Minor, Execute to Parse ratio is low on Oracle Database BI_Reporting_Prod_DB:1665:KBZRPTDC," Aug 01, 2025 19:31 ",46s
Critical, TCP connection failed when accessing the web page HomePage. This is affecting External Web ibanking," Aug 01, 2025 19:31 ",15m 33s
Minor, There are many waiting containers in pod aws-guardduty-agent-mhm56 of namespace amazon-guardduty on Kubernetes Cluster NewCoreBankingProdEnv," Aug 01, 2025 19:31 ",2h 7m
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTNF}," Aug 01, 2025 19:31 ",13m 53s
Major, High disk space usage on /data04 drive of AWS_CBS_Reporting_DB," Aug 01, 2025 19:31 ",13m 53s
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTNB}," Aug 01, 2025 19:31 ",13m 53s
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTNA}," Aug 01, 2025 19:31 ",13m 53s
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTNC}," Aug 01, 2025 19:31 ",13m 53s
Major, High disk space usage on /data02 drive of AWS_CBS_Reporting_DB," Aug 01, 2025 19:31 ",13m 53s
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTNE}," Aug 01, 2025 19:31 ",13m 53s
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTNG}," Aug 01, 2025 19:31 ",13m 53s
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTND}," Aug 01, 2025 19:31 ",13m 53s
Major, High disk space usage on /data03 drive of AWS_CBS_Reporting_DB," Aug 01, 2025 19:31 ",13m 53s
Major, High disk space usage on /data01 drive of AWS_CBS_Reporting_DB," Aug 01, 2025 19:31 ",13m 53s
Critical, Lagging checkpoint duration is high  {EXTRACT/ELOTNH}," Aug 01, 2025 19:30 ",13m 55s
Minor, Many maintenance {system-update}," Aug 01, 2025 19:30 ",9m 27s
Minor, Many maintenance {Summary}," Aug 01, 2025 19:30 ",9m 30s
Major, Many HTTP 5XX responses on load balancer app/flexcube-loadbalancer-prod1/dd97bd39a3f8c9b6 of AWS Cloud flexcube-corebanking-prd," Aug 01, 2025 19:30 ",6m 59s
Minor, High CPU utilization when waiting for I/O on eG_Backend_DB_DR," Aug 01, 2025 19:30 ",4m 46s
